len,naive,RK,BM,KMP,python
109,27767838.999999996,16102339.000000006,16184786.000000004,16143386.999999996,20004.999999999996
110,27206115.0,15933670.999999994,15793362.0,15813505.000000004,0.0
111,27238511.0,16150970.000000002,15913914.999999996,15823653.999999996,20115.0
112,25774057.0,14935738.999999998,14991673.0,14934252.000000002,40014.000000000015
113,25936035.999999993,15054704.999999998,15082510.000000002,15032949.000000004,0.0
114,27384322.0,15955087.000000002,15823099.0,15974419.0,10001.999999999998
115,26657384.0,15743266.000000006,15792607.999999996,15753392.000000002,50020.99999999999
116,27136587.0,15803703.999999996,16123381.999999998,15783003.999999996,10001.0
117,27365982.0,15982606.000000002,15963859.000000004,16034663.000000002,10004.0
118,29192890.00000001,17094012.999999996,17053932.99999999,17097383.999999996,40009.0
119,30027074.000000004,17543404.000000007,17574092.0,17554011.999999996,0.0
120,26485319.0,15423465.000000002,15463398.999999998,15424183.999999998,0.0
121,28346662.000000004,16584294.00000001,16514968.999999998,16521702.999999994,10010.000000000007
122,29896780.99999999,17753245.000000004,17664964.99999999,17733717.999999996,0.0
123,26046879.000000004,15172565.000000002,15113979.0,15142627.000000002,10006.0
124,28466237.000000015,16573630.0,16545159.999999996,16535923.0,0.0
125,27144026.000000007,15636807.0,15704556.999999998,15764362.0,20001.000000000004
126,28298230.0,16503822.000000002,16494646.000000004,16310597.000000004,0.0
127,29566016.999999996,17114780.999999996,17233596.000000007,17253892.000000007,10003.0
128,29977335.0,17474994.000000007,17512920.0,17443317.000000007,10003.0
129,27706277.99999999,16263611.000000004,16183950.000000004,16073473.0,10001.0
130,25845639.999999996,15183350.000000002,15082780.999999998,15094128.999999996,0.0
131,26617757.000000007,15492065.0,15583299.999999998,15433540.999999998,0.0
132,25745678.999999996,14943843.000000004,14925368.999999996,14962815.999999998,9939.999999999998
133,26663123.0,15633615.0,15673569.000000004,15634578.0,0.0
134,26608469.999999996,15560728.000000004,15453686.999999987,15483587.999999998,0.0
